chr,gene,length
chr17,LOC105371763.csv,3601
chr4,CISD2.csv,23816
chr19,MIR519A1.csv,85
chr1,LOC105378927.csv,5906
chr7,OR2A5.csv,9898
chr8,MIR124-2.csv,109
chr20,SNORD57.csv,72
chr19,ZNF528.csv,25657
chr10,CASC2.csv,163333
chr19,PDCD2L.csv,21770
chr19,ZSCAN4.csv,27677
chr23,MIR1911.csv,80
chr7,TRBV7-4.csv,462
chr17,TRR-CCT1-1.csv,73
chr8,MED30.csv,19550
chr2,GORASP2.csv,38654
chr6,CCN6.csv,16874
chr4,SMARCA5.csv,43986
chr1,CELA2A.csv,15360
chr22,FAM230A.csv,79211
chr8,LOC105379300.csv,31789
chr4,LOC105377548.csv,13833
chr21,IL10RB.csv,30855
chr11,CLDN25.csv,690
chr3,LOC105374159.csv,11042
chr11,PPFIBP2.csv,152706
chr15,TMOD3.csv,86073
chr18,LOC105372041.csv,26581
chr10,CACNB2.csv,405458
chr10,LOC105378408.csv,18535
chr2,LOC107985955.csv,127268
chr20,FAM210B.csv,9690
chr9,MIR6877.csv,64
chr5,YTHDC2.csv,81602
chr20,SYS1.csv,14850
chr9,FPGS.csv,11663
chr4,LOC101928409.csv,4331
chr10,MPP7-DT.csv,3136
chr23,CLDN34.csv,995
chr11,LOC102724775.csv,7394
chr13,LOC107984617.csv,6049
chr8,DEFB135.csv,2335
chr18,LOC105371980.csv,16669
chr13,LOC105370231.csv,10287
chr10,GPR158.csv,427493
chr13,LOC107984552.csv,7458
chr17,DHRS11.csv,8959
chr1,AGL.csv,73947
chr15,FAM81A.csv,123894
chr8,LOC105375738.csv,9878
chr6,LOC105374889.csv,1040
chr23,SNORA11D.csv,127
chr16,LOC105371256.csv,15972
chr22,MAFF.csv,14518
chr3,CEP63.csv,297446
chr11,CSRP3-AS1.csv,116624
chr14,SRP54.csv,46587
chr5,GDNF-AS1.csv,35916
chr12,LOC105369923.csv,12574
chr8,ASAH1-AS1.csv,12784
chr17,OR3A3.csv,12701
chr4,LINC02502.csv,24754
chr5,FGFR4.csv,11230
chr12,LINC02955.csv,45337
chr16,CKLF-CMTM1.csv,26560
chr1,LDLRAP1.csv,46813
chr4,GRIA2.csv,150464
chr4,LOC105374444.csv,9318
chr1,UROD.csv,3322
chr6,ETV7-AS1.csv,4982
chr3,NKTR.csv,48729
chr11,FOXRED1.csv,9090
chr2,IGKV3D-15.csv,514
chr9,OLFM1.csv,45680
chr8,LOC105375926.csv,4180
chr2,NOTO.csv,9940
chr4,SGMS2.csv,91403
chr11,NRGN.csv,7269
chr7,LOC101928257.csv,3472
chr19,MIR638.csv,100
chr1,DDI2.csv,51587
chr17,LOC105371507.csv,11693
chr4,LOC105374407.csv,28915
chr1,AGO4.csv,50261
chr23,MIR3937.csv,106
chr20,RTF2.csv,50823
chr11,KCNJ5.csv,29808
chr17,HLF.csv,60228
chr16,MIR6504.csv,61
chr13,USP12-DT.csv,11245
chr17,TXNDC17.csv,3482
chr6,ARMT1.csv,17636
chr3,LOC112268450.csv,22911
chr6,LOC105377845.csv,45225
chr15,MKRN3.csv,2371
chr10,MSRB2.csv,26450
chr10,LOC105376441.csv,5064
chr16,RBFOX1.csv,2473592
chr9,MIR548AU.csv,54
chr3,CXCR6.csv,7437
chr23,UBA1.csv,24282
chr1,PIFO.csv,28355
chr20,LOC105372643.csv,5310
chr7,NOM1.csv,23465
chr23,LOC107987331.csv,15274
chr15,LINC01193.csv,52867
chr2,CYP27A1.csv,33561
chr6,TRNAI-AAU.csv,74
chr3,LOC102724817.csv,2241
chr12,SP1.csv,36271
chr8,LOC105379393.csv,53238
chr6,PNRC1.csv,4412
chr16,ZC3H18.csv,61562
chr4,LOC107986303.csv,2307
chr10,ZSWIM8.csv,16217
chr23,KIF4A.csv,130783
