chr,gene,length
chr2,UBR3.csv,256678
chr18,MIR6718.csv,80
chr13,LMO7.csv,239437
chr21,LOC105372793.csv,19223
chr1,DNAI3.csv,70812
chr1,TDRKH-AS1.csv,3654
chr12,PA2G4.csv,9352
chr1,LCE1E.csv,2170
chr13,RBM26-AS1.csv,18028
chr20,LOC107985446.csv,7963
chr16,LOC105379475.csv,4643
chr1,LOC105371649.csv,21855
chr1,LOC105378726.csv,22882
chr11,B4GALNT4.csv,12619
chr1,CNST.csv,102258
chr3,CXCR6.csv,7437
chr8,DEFB135.csv,2335
chr1,CCN1.csv,3190
chr9,LOC105376004.csv,70931
chr6,LOC105374889.csv,1040
chr14,LOC105370618.csv,4522
chr13,LINC01043.csv,8300
chr12,TXNRD1.csv,134529
chr22,LOC107985579.csv,3334
chr23,SAGE1.csv,19363
chr9,GTF3C5.csv,27815
chr17,SLC16A13.csv,4103
chr2,IL1F10.csv,7874
chr10,MIR603.csv,97
chr14,BCL2L2-PABPN1.csv,19331
chr2,LOC107985869.csv,45563
chr14,IFT43.csv,98311
chr3,RTP3.csv,2975
chr16,HSF4.csv,6181
chr20,LOC105372672.csv,26237
chr23,GDPD2.csv,10361
chr1,TRIM67.csv,59508
chr19,MIR523.csv,87
chr1,TATDN3.csv,24998
chr20,SYS1.csv,14850
chr7,LOC105375328.csv,5820
chr4,PI4K2B.csv,45172
chr11,EMSY.csv,108104
chr11,ZBTB44-DT.csv,88665
chr8,LOC107986957.csv,4962
chr19,MIR373.csv,69
chr2,LOC105373691.csv,69330
chr10,ECHDC3.csv,21689
chr1,SARS1.csv,24290
chr15,LOC101928850.csv,6728
chr6,LOC105378076.csv,6720
chr5,PCDHGB1.csv,162877
chr11,FOXRED1.csv,9090
chr3,PTX3.csv,6784
chr11,TRIM49C.csv,42441
chr12,LOC107984129.csv,13754
chr1,LOC107985318.csv,9203
chr7,LOC105375207.csv,22713
chr11,LINC02760.csv,16063
chr9,LOC105376208.csv,77349
chr4,LOC105377329.csv,170761
chr3,CMSS1.csv,363871
chr5,GABRG2.csv,88075
chr11,UBASH3B.csv,158752
chr4,LOC105377267.csv,34668
chr14,RNF31.csv,13781
chr9,LOC105376213.csv,5393
chr12,MIR1251.csv,70
chr17,LHX1.csv,7138
chr17,MAP2K3.csv,30562
chr15,LOC105370959.csv,19715
chr1,LOC105378805.csv,3301
chr4,GRIA2.csv,150464
chr19,HNRNPUL1.csv,45269
chr9,LOC107984127.csv,56205
chr1,CELA2A.csv,15360
chr15,LOC105370781.csv,9970
chr10,ITPRIP-AS1.csv,3382
chr16,LINC02125.csv,23481
chr6,LOC107986656.csv,9530
chr18,LOC105372041.csv,26581
chr18,LOC107985172.csv,77219
chr11,HOATZ.csv,22266
chr17,NME1-NME2.csv,18186
chr5,FGFR4.csv,11230
chr7,LOC105375546.csv,20160
chr16,LOC105371117.csv,8703
chr6,TRY-GTA1-1.csv,91
chr20,TTLL9.csv,74367
chr2,NOTO.csv,9940
chr2,SLC30A6.csv,58530
chr19,MIR518D.csv,87
chr23,LOC107985697.csv,22698
chr6,ALDH5A1.csv,42239
chr6,HCG20.csv,25426
chr14,LOC101928504.csv,2163
chr15,SNORD115-8.csv,82
chr6,TRK-TTT3-3.csv,73
chr16,ZC3H18.csv,61562
chr2,RMDN2.csv,148458
chr14,FAM30A.csv,14664
chr18,LOC105372028.csv,40865
chr6,LOC105377882.csv,12603
chr10,LINC01163.csv,31777
chr1,AKR1A1.csv,19273
chr13,LOC107984621.csv,73315
chr1,LOC107985377.csv,5403
chr23,MIR1911.csv,80
chr2,CYP27A1.csv,33561
chr19,FEM1A.csv,9540
chr7,ICA1-AS1.csv,81057
chr16,LOC105371328.csv,931
chr21,GET1.csv,48203
chr1,TFAP2E.csv,26853
chr14,ZFYVE21.csv,17855
chr11,SNORD13F.csv,85
chr5,LOC107986391.csv,11891
chr2,GPN1.csv,23265
chr3,ATP2C1.csv,166118
chr3,LINC00870.csv,23083
chr9,TMC1.csv,316690
chr19,MED29.csv,9264
chr11,FADS2.csv,51152
chr16,NUP93.csv,120158
chr1,LOC105378654.csv,71897
chr17,CCDC137.csv,7211
chr5,PDZD2.csv,471802
chr2,CHAC2.csv,7414
chr8,LOC105379392.csv,3596
chr11,EXT2.csv,156285
chr3,LOC101926923.csv,5259
chr1,LINC02770.csv,12038
chr16,LOC102723692.csv,4229
chr5,PCDHA8.csv,171161
chr2,IGKV3D-15.csv,514
chr14,MIR655.csv,97
chr22,RNF185.csv,46838
chr15,WHAMM.csv,26481
chr19,ABCA7.csv,25466
chr15,PLEKHO2.csv,26088
chr11,LOC105369395.csv,36710
chr14,KIAA0586.csv,123898
chr23,SSX2B.csv,10285
chr8,ZNF596.csv,15204
chr2,SULT1C3.csv,25641
chr18,LOC105372156.csv,8353
chr22,SNRPD3.csv,19322
chr5,GALNT10.csv,230252
chr10,MIR3158-1.csv,81
chr3,LOC105374077.csv,3705
chr1,LOC112268231.csv,2003
chr1,MAST2.csv,249133
chr9,GPR21.csv,9117
chr13,KL.csv,50081
chr6,RFPL4B.csv,3965
chr1,LOC440742.csv,841
chr15,TBC1D21.csv,38611
chr15,LOC105370919.csv,17039
chr13,LINC01070.csv,3668
chr14,C14orf178.csv,8975
chr21,IL10RB.csv,30855
