chr,gene,length
chr16,SH2B1.csv,27600
chr9,DMRTA1.csv,8917
chr20,DEFB127.csv,1710
chr22,PIK3IP1-DT.csv,2673
chr22,LOC107985579.csv,3334
chr19,NUDT19.csv,22430
chr10,SPAG6.csv,72150
chr5,FGF10-AS1.csv,25258
chr12,LINC02368.csv,3736
chr23,SH2D1A.csv,26598
chr24,MIR6089.csv,64
chr16,LOC100287175.csv,2254
chr2,LINC02850.csv,1891
chr3,LOC105374230.csv,21982
chr13,LOC105370139.csv,2944
chr1,TRN-GTT3-1.csv,74
chr6,ANKS1A.csv,208738
chr22,LOC107985534.csv,10786
chr8,MRPL15.csv,13291
chr3,PSMD2.csv,9810
chr12,PPP1R12A-AS1.csv,6115
chr9,OR13F1.csv,960
chr19,C19orf44.csv,24988
chr15,ZNF774.csv,11409
chr22,DGCR6.csv,5769
chr11,HIPK3.csv,100352
chr8,ARHGEF10.csv,134716
chr3,TMEM44-AS1.csv,6565
chr15,SNORD115-22.csv,82
chr14,MIR370.csv,75
chr3,SCHIP1.csv,624116
chr13,SPACA7.csv,58390
chr4,ARFIP1.csv,132404
chr2,DAPL1.csv,20674
chr18,LINC01916.csv,24273
chr9,NCS1.csv,64900
chr4,SMR3B.csv,7114
chr1,UFC1.csv,26154
chr11,LINC02731.csv,9070
chr2,LOC107985943.csv,755
chr1,MIR6740.csv,113
chr7,LOC105375169.csv,12731
chr2,NDUFAF7.csv,39708
chr9,STXBP1.csv,84118
chr6,ZNF292.csv,110379
chr10,LOC105376425.csv,3559
chr1,LOC105371655.csv,1907
chr1,IARS2.csv,53910
chr6,SMPD2.csv,3202
chr4,LOC105377397.csv,4662
chr13,LOC105370339.csv,4210
chr16,LOC105371240.csv,124894
chr7,LOC105375180.csv,93261
chr14,GNG2.csv,143627
chr23,LOC107985658.csv,4461
chr8,LOC105375896.csv,33671
chr5,LOC107986441.csv,100392
chr5,MIR4634.csv,54
chr4,MIR12113.csv,71
chr15,KBTBD13.csv,3203
chr3,NDUFB5.csv,22854
chr12,OR6C75.csv,6305
chr1,TSPAN1.csv,21403
chr23,FAM50A.csv,6514
chr4,ZNF330.csv,14404
chr7,TRBV18.csv,619
chr8,C8orf58.csv,4544
chr17,ERAL1.csv,6046
chr8,MIR3622A.csv,83
chr5,LOC107986394.csv,1082
chr1,RO60.csv,32324
chr6,LOC105375052.csv,9458
chr5,LOC105379015.csv,9773
chr14,PELI2.csv,183258
chr13,FAM124A.csv,61875
chr23,SNORA11D.csv,127
chr11,MIR6090.csv,60
chr12,PFDN5.csv,3909
chr3,LOC105374056.csv,33060
chr5,RMND5B.csv,20037
chr14,EIF2B2.csv,9446
chr5,SREK1.csv,39316
chr5,ZNF354C.csv,23605
chr2,TMEM87B.csv,64049
chr19,LOC102725180.csv,6040
chr17,LOC101928475.csv,922
chr19,LOC105372335.csv,11888
chr10,LOC101929846.csv,24069
chr14,MIR431.csv,114
chr11,LOC107984402.csv,37044
chr14,PARP2.csv,14864
chr3,LOC101928636.csv,14945
chr3,LOC105374090.csv,45703
chr10,MALRD1.csv,687548
chr16,DNAAF1.csv,33496
chr10,MTG1.csv,28364
chr3,HHATL-AS1.csv,4225
chr5,HSPA4.csv,54437
chr2,NAB1.csv,43907
chr5,ADCY2.csv,433944
chr3,LSAMP-AS1.csv,10062
chr2,GMCL1.csv,51730
chr5,F2R.csv,19645
chr6,LOC107986671.csv,16037
chr12,EID3.csv,1467
chr3,LOC105374129.csv,4813
chr5,LIFR-AS1.csv,114431
chr19,CLEC4M.csv,6363
chr6,ARG1.csv,11104
chr5,LOC107986392.csv,6500
chr17,ZNF286A-TBC1D26.csv,46414
chr1,LOC105378867.csv,17992
chr6,HLA-E.csv,4687
chr5,TCF7.csv,33549
chr17,LINC01976.csv,702
chr16,MIR9901.csv,96
chr1,LOC105378599.csv,900
chr1,MAN1A2.csv,161480
chr4,LINC01182.csv,276050
chr4,PKD2.csv,70145
chr11,IZUMO1R.csv,3567
chr11,LGR4-AS1.csv,10703
chr1,LOC107985300.csv,7413
chr16,FTO-IT1.csv,981
chr15,SNORD115-37.csv,82
chr9,NUP214.csv,109078
chr19,SHFL.csv,7131
chr4,EPHA5-AS1.csv,23426
chr1,LOC107985454.csv,3116
chr15,LOC112268159.csv,9657
chr3,LOC105374010.csv,13844
chr16,ZG16B.csv,1974
chr1,LOC105378706.csv,25303
chr22,HMGXB4.csv,39111
chr3,HEMK1.csv,27015
chr11,EIF3M.csv,22449
chr10,GPR158.csv,427493
chr16,LOC105371302.csv,82213
chr5,SQSTM1.csv,31686
chr19,MIR6797.csv,72
chr3,LOC105377102.csv,8562
chr6,MIR548U.csv,81
chr20,LOC105379481.csv,17129
chr1,LOC107985523.csv,4687
chr11,LOC112267904.csv,7143
chr23,MAGEB6B.csv,1810
chr12,LOC105370050.csv,12403
chr2,ABHD1.csv,7335
chr4,LOC550113.csv,19726
chr22,IGLV5-52.csv,561
chr2,BIRC6.csv,261976
chr13,LOC105370301.csv,66794
chr17,TMEM199.csv,6037
chr16,LOC102724847.csv,7931
chr12,LINC02822.csv,88774
chr5,LINC01020.csv,35646
chr8,FAM66D.csv,35408
chr6,MIR4643.csv,78
chr1,LAX1.csv,13044
chr4,LINC00989.csv,83868
chr11,PLEKHB1.csv,16239
chr2,LOC112268433.csv,11433
chr9,LOC102723971.csv,5711
chr3,DNAJB11.csv,15074
chr7,LOC107986755.csv,13754
chr9,MIR101-2.csv,79
chr16,PSKH1.csv,36423
chr1,NOTCH2NLC.csv,81213
chr6,LOC105378106.csv,4494
chr8,LOC107986934.csv,4751
chr1,PER3.csv,60897
chr12,DYRK2.csv,16662
chr9,IER5L-AS1.csv,24704
chr1,LOC101929788.csv,17812
chr2,ZC3H15.csv,23109
chr2,FN1-DT.csv,811
chr13,EDNRB-AS1.csv,89506
chr7,LOC107986751.csv,947
chr14,PCK2.csv,9815
chr15,HYKK.csv,29797
chr4,LOC105377499.csv,37880
chr4,HNRNPD-DT.csv,9698
chr18,LOC105372036.csv,7225
chr7,MIR4284.csv,81
chr12,ESYT1.csv,16408
chr19,LOC105372355.csv,6918
chr12,SNORA49.csv,137
chr23,LOC728660.csv,770
chr6,HCP5.csv,2630
chr2,LOC107985976.csv,13418
chr2,HNMT.csv,52297
chr22,LZTR1.csv,16736
chr17,MIR548AA2.csv,97
chr11,OR51B6.csv,939
chr15,PWAR6.csv,4618
chr7,GPNMB.csv,28345
chr2,LINC01823.csv,19503
chr7,TRBV6-6.csv,433
chr1,LOC105371657.csv,453934
chr2,STON1-GTF2A1L.csv,246595
chr9,LOC105379841.csv,7420
chr10,MXI1.csv,79761
chr16,IL17C.csv,1897
chr14,TCL1B.csv,6203
chr14,GPR137C.csv,84878
chr17,SAP30BP.csv,40749
chr5,PCDHGA8.csv,120343
chr19,LOC105372442.csv,15962
chr16,TRR-CCG1-3.csv,73
chr11,LINC02751.csv,152600
chr16,MIR6774.csv,70
chr20,MIR548AG2.csv,64
chr1,TOR3A.csv,13927
chr19,URI1.csv,92963
chr9,MELK.csv,104813
chr19,RANBP3-DT.csv,41961
chr8,LOC105375655.csv,17954
chr11,LOC105369402.csv,23778
chr12,KCNMB4.csv,68073
chr20,LOC105372664.csv,12980
chr22,LINC01639.csv,9351
chr1,LOC105378721.csv,4433
chr6,KAAG1.csv,1383
chr11,OR4B1.csv,930
chr23,TMEM35A.csv,17489
chr8,RIMS2.csv,756161
chr5,LOC102546299.csv,72706
chr16,ADAD2.csv,6010
chr11,BARX2.csv,77043
chr2,SOWAHC.csv,4627
chr13,LOC105370108.csv,97803
chr6,ADGRF5-AS1.csv,6559
chr4,LOC105377396.csv,43747
chr16,LOC112268176.csv,4034
chr9,LOC112268046.csv,9517
chr24,LOC107987340.csv,842
chr21,LOC112268278.csv,777
chr19,ERVV-2.csv,6941
chr2,TMEM18-DT.csv,9439
chr6,AHI1-DT.csv,218255
chr6,LOC107986635.csv,25281
chr12,ORMDL2.csv,3839
chr11,CALCB.csv,5045
chr12,CCT2.csv,16112
chr16,SRRM2.csv,20510
chr12,MYG1.csv,7483
chr19,MIR519E.csv,84
chr2,YIPF4.csv,38691
chr2,ALLC.csv,57304
chr6,LOC107986547.csv,793
chr3,LOC105377151.csv,4765
chr23,AFF2.csv,500047
chr16,LOC107984833.csv,1591
chr13,LOC101927284.csv,174470
chr15,SNORD115-33.csv,82
chr6,BPHL.csv,35224
chr10,LINC00200.csv,4905
chr7,RBAK.csv,23628
chr7,LOC107986789.csv,2193
chr3,GHRLOS.csv,12498
chr23,PCYT1B-AS1.csv,8165
chr17,CCL3-AS1.csv,16551
chr12,SPATS2.csv,160533
chr20,LOC107985430.csv,9905
chr7,TRBV7-9.csv,473
chr9,PBX3.csv,220006
chr8,CRISPLD1.csv,50054
chr4,LOC105377310.csv,10833
chr19,LOC102724427.csv,10390
chr23,EOLA1.csv,14745
chr11,FOXRED1.csv,9090
chr13,LINC00440.csv,44950
chr14,MIR154.csv,84
chr8,LOC105377789.csv,17142
chr1,LOC102724857.csv,4409
chr14,HEATR5A-DT.csv,32126
chr18,MIR5190.csv,80
chr12,FAM222A.csv,56685
chr1,HCRTR1.csv,14830
chr3,SENP5.csv,66818
chr16,LINC02124.csv,1321
chr10,REEP3.csv,103776
chr8,LAPTM4B.csv,77226
chr6,LOC105374897.csv,6890
chr1,TRL-CAG1-1.csv,83
chr15,CFAP161.csv,49772
chr9,PRRT1B.csv,14293
chr3,C3orf56.csv,5055
chr22,SUSD2.csv,7620
chr14,LOC105370556.csv,13900
chr19,P2RY11.csv,3680
chr11,SLC22A11.csv,17029
