chr,gene,length
chr4,LOC105374433.csv,27317
chr22,ACR.csv,7136
chr13,MIR4704.csv,75
chr9,LINC02908.csv,10492
chr2,IGKV2D-24.csv,803
chr18,CEP192.csv,133753
chr12,TRD-GTC1-1.csv,72
chr1,SRRM1.csv,30009
chr1,DMBX1.csv,26381
chr8,LOC105379379.csv,5733
chr6,TRT-CGT5-1.csv,74
chr15,LOC105370752.csv,11294
chr19,LINC01869.csv,1198
chr3,LOC105374088.csv,11176
chr11,CRACR2B.csv,6434
chr8,LOC101928087.csv,2053
chr8,AP3M2.csv,18149
chr6,ARG1.csv,11104
chr5,UBE2QL1.csv,59377
chr2,LOC107985939.csv,7926
chr11,ANKRD42.csv,62388
chr14,ARHGEF40.csv,28973
chr8,LINC02948.csv,5480
chr21,RRP1B.csv,36520
chr16,HAGHL.csv,2717
chr17,LOC147004.csv,30615
chr2,LOC105373817.csv,6020
chr22,LOC107985568.csv,6106
chr10,LIPM.csv,19293
chr6,RPF2.csv,46226
chr1,G0S2.csv,979
chr16,TRK-CTT4-1.csv,73
chr3,LOC105377035.csv,3755
chr7,LOC105375208.csv,20416
chr11,TLCD5.csv,8388
chr6,TRL-CAG1-7.csv,83
chr3,KIF15.csv,91535
chr8,HSF1.csv,23118
chr3,LINC02066.csv,32917
chr19,MIR522.csv,87
chr23,GATA1.csv,7722
chr1,TRL-CAG1-2.csv,83
chr11,FZD4-DT.csv,45330
chr9,LURAP1L.csv,48067
chr6,NFYA.csv,29430
chr20,LOC105372525.csv,8569
chr9,LOC105376100.csv,4088
chr1,INTS3.csv,46759
chr11,SAA1.csv,3704
chr1,LINC01358.csv,67772
chr3,OR5K3.csv,966
chr8,MIR6876.csv,73
chr1,LINC02819.csv,25089
chr2,LOC105374378.csv,23165
chr2,LOC105373854.csv,12485
chr10,ZNF32-AS1.csv,1176
chr1,MIR5191.csv,120
chr11,MTNR1B.csv,16591
chr22,IGLJ7.csv,38
chr16,LOC105371356.csv,71177
chr1,LOC105378810.csv,135393
chr5,TRAPPC13.csv,41207
chr12,NUDT4.csv,30222
chr20,SPTLC3.csv,160132
chr1,TRH-GTG1-1.csv,72
chr14,MIR485.csv,73
chr3,LOC105376975.csv,2719
chr9,LOC107987000.csv,19487
chr1,FPGT-TNNI3K.csv,346187
chr5,SERF1A.csv,17862
chr16,DECR2.csv,10598
chr2,LOC105373551.csv,12826
chr3,CSNKA2IP.csv,129139
chr4,LINC01596.csv,3354
chr17,LOC105371720.csv,1613
chr15,HAUS2.csv,21167
chr24,RPS4Y2.csv,24925
chr14,LOC112268133.csv,10253
chr20,LOC107985400.csv,41349
chr17,LOC107985006.csv,5492
chr10,LOC107984180.csv,1540
chr1,VWA1.csv,7193
chr2,TBC1D8-AS1.csv,3753
chr7,LOC105375158.csv,132258
chr4,LINC02616.csv,18928
chr15,SNORD116-6.csv,98
chr17,GPRC5C.csv,20309
chr15,LOC105370957.csv,2813
chr23,LOC105373131.csv,2813
chr11,VPS51.csv,15649
chr10,LOC105376420.csv,10458
chr1,HPCA.csv,8682
chr6,UTRN.csv,567774
chr1,CDCA8.csv,17204
chr9,PLPP6.csv,2965
chr1,SYPL2.csv,15665
chr12,IL23A.csv,6252
chr11,SYT12.csv,44091
chr9,ZNF618.csv,180311
chr2,SNX17.csv,6920
chr22,PANX2.csv,9565
chr19,SNRNP70.csv,23156
chr8,PIWIL2.csv,82255
chr23,ARSD-AS1.csv,1219
chr20,LOC102724734.csv,5693
chr20,TNFRSF6B.csv,2033
chr19,P2RY11.csv,3680
chr20,MYL9.csv,9929
chr12,MIR3612.csv,87
chr4,ATOH1.csv,2212
chr2,SEMA4F.csv,44785
chr14,LINC02301.csv,64194
chr10,LOC105378275.csv,39798
chr15,MYZAP.csv,93461
chr9,LOC105376196.csv,11301
chr8,STAU2-AS1.csv,21445
chr2,LINC01126.csv,1645
chr14,LINC01551.csv,22091
chr19,LOC105372379.csv,10951
chr8,LOC105375813.csv,3058
chr7,TMEM270.csv,5045
chr2,LOC107985934.csv,14887
chr2,TTC21B-AS1.csv,14465
chr4,LNX1-AS2.csv,12427
chr18,LOC107985155.csv,20712
chr23,ARMCX1.csv,4154
chr15,HYKK.csv,29797
chr3,LINC00488.csv,7097
chr1,UQCRH.csv,13079
chr6,MIR7111.csv,72
chr14,TRAJ52.csv,69
chr15,LOC105371024.csv,116686
chr5,SLC12A2.csv,105912
chr12,MYF6.csv,1841
chr4,LOC105377603.csv,19952
chr23,LOC105373344.csv,2583
chr2,LOC107985821.csv,1394
chr9,IL33.csv,43393
chr7,LOC107986757.csv,2544
chr6,PRRC2A.csv,17066
chr9,LOC107987077.csv,5293
chr1,TMEM82.csv,5484
chr4,DBET.csv,3363
chr11,MIR6128.csv,109
chr2,NDUFAF7.csv,39708
chr20,MAVS.csv,29285
chr14,TRAC.csv,4627
chr7,TRBJ1-4.csv,51
chr9,LOC101928384.csv,1151
chr3,MIR6083.csv,106
chr8,VIRMA-DT.csv,17064
chr8,TNFRSF10A-DT.csv,5706
chr23,SPANXA2-OT1.csv,147091
chr19,CD37.csv,5648
chr18,RELCH.csv,122995
chr1,RCSD1.csv,78465
chr5,VTRNA1-1.csv,98
chr4,LOC105377363.csv,5966
chr20,DTD1.csv,178591
chr4,LOC105377555.csv,52074
chr22,FBLN1.csv,98253
chr9,PTENP1-AS.csv,10744
chr8,LINC01602.csv,5769
chr6,LOC105378071.csv,60484
chr3,LINC02048.csv,14945
chr19,LOC102724290.csv,1334
chr10,LINC02673.csv,2702
chr9,EGFL7.csv,17926
chr14,LOC105370462.csv,72037
chr17,MAPT.csv,133797
chr6,TRT-AGT3-1.csv,74
chr17,RNASEK-C17orf49.csv,5108
chr5,POLR3G.csv,40629
chr2,MIR4765.csv,77
chr11,TCIRG1.csv,14847
chr11,TMPRSS4.csv,48490
chr19,ZNF524.csv,3367
chr16,ZG16B.csv,1974
chr9,BARX1-DT.csv,2089
chr2,NABP1-OT1.csv,20289
chr8,LOC105375919.csv,2321
chr3,TPRG1.csv,324526
chr10,COMMD3.csv,3919
chr20,XKR7.csv,35237
chr20,PARD6B.csv,22162
chr19,ZNF749.csv,18537
chr12,COX6A1.csv,2618
chr14,LINC00638.csv,2518
chr12,CHFR-DT.csv,730
chr14,ACTN1-DT.csv,7782
chr14,TUNAR.csv,49180
chr2,DPYSL5.csv,102357
chr14,RBM25.csv,65368
chr17,CCDC144NL-AS1.csv,61515
chr19,CPT1C.csv,23060
chr7,LOC101928283.csv,194753
chr2,SPP2.csv,26468
chr13,LINC01078.csv,11425
chr7,CAPZA2.csv,59463
chr12,CHST11.csv,305067
chr5,CSNK1G3.csv,104934
chr9,FKTN.csv,97834
chr4,NSG1.csv,32527
chr1,ATP1B1.csv,26030
chr1,MIR6878.csv,66
chr3,LOC105376924.csv,13630
chr16,NPW.csv,971
chr7,LOC101927914.csv,33486
chr24,MIR6089.csv,64
chr11,OOSP4B.csv,13915
chr1,SNRPE.csv,9554
chr2,SNORD51.csv,70
chr18,CETN1.csv,1735
chr17,GGNBP2.csv,44936
chr6,FOXP4.csv,56004
chr3,ACAD9.csv,33519
chr1,LOC105376830.csv,15569
chr1,MLLT11.csv,9148
chr12,TCHP.csv,37403
chr15,MAPK6.csv,48157
chr17,MIR4727.csv,55
chr5,LOC107986414.csv,12019
chr9,LOC107987103.csv,3085
chr12,ANKRD33.csv,3625
chr15,LOC105370939.csv,11888
chr2,ITM2C.csv,15070
chr1,TMEM69.csv,6258
chr3,AP2M1.csv,9237
chr3,LOC112268444.csv,23806
chr12,CAPZA3.csv,1070
chr15,ARHGAP11A-SCG5.csv,81623
chr3,IGSF11-AS1.csv,5166
chr17,POLR2A.csv,30251
chr11,TMEM25.csv,16098
chr6,LOC107986666.csv,104048
chr1,ATP1A1.csv,37274
chr2,LOC102724579.csv,4518
chr11,OOSP2.csv,7636
chr22,LOC105373016.csv,21782
chr1,MROH9.csv,130871
chr2,PJVK.csv,16958
chr17,TIMM22.csv,6543
chr2,PPP1R21.csv,74621
chr2,ZDBF2.csv,40856
chr2,LINC01870.csv,1852
chr17,ADORA2B.csv,47965
chr11,OR52E4.csv,6451
chr1,GPR88.csv,3883
chr19,KLK3.csv,5850
chr22,IGLV4-69.csv,479
chr6,FOXF2.csv,6028
chr6,LOC107984041.csv,366993
chr10,LOC105376396.csv,19069
chr23,MSL3.csv,17614
chr3,KCTD6.csv,10265
chr6,RPL7L1.csv,10285
chr10,PANK1-AS1.csv,9366
chr17,TNK1.csv,9406
chr8,C8orf44.csv,13936
chr1,FAM78B-AS1.csv,30738
chr10,LOC101927584.csv,2037
chr5,PDCD6-AHRR.csv,166640
chr8,SLC35G5.csv,1349
chr7,OGDH.csv,102495
chr14,LOC105370464.csv,47392
chr15,FBXO22.csv,38634
chr19,FEM1A.csv,9540
chr7,LINC01372.csv,4049
chr15,LOC105370774.csv,13501
chr12,ATP23.csv,17582
chr12,LOC105378256.csv,24028
chr8,PRNCR1.csv,12722
chr15,USP3.csv,90041
chr5,LOC105379114.csv,18683
chr1,CNTN2.csv,35353
chr11,TSKU.csv,15865
chr2,RNASEH1-DT.csv,3365
chr15,MIR5701-2.csv,82
chr20,CHGB.csv,13844
chr1,XPR1.csv,258258
chr1,PBX1.csv,326864
chr3,BTD.csv,121165
chr20,GNAS.csv,71512
chr7,LOC105375142.csv,4484
chr19,LOC105372395.csv,40910
chr2,LOC105373616.csv,6113
chr7,FMC1-LUC7L2.csv,82118
chr4,LINC02433.csv,3665
chr17,B4GALNT2.csv,56494
chr18,SERPINB2.csv,16186
chr10,ZSWIM8.csv,16217
chr12,LOC105369827.csv,42481
chr12,KLRF1.csv,44954
chr23,P2RY10.csv,18337
chr14,TRAV9-2.csv,474
chr23,SMIM10.csv,1483
chr1,LINC01714.csv,6539
chr1,LOC105373167.csv,10036
chr12,PUS1.csv,16629
chr22,NCF4.csv,17010
chr2,EIF4E2.csv,32956
chr8,MED30.csv,19550
chr7,LOC105375511.csv,7081
chr20,LOC105372578.csv,13007
chr2,COL4A3.csv,150204
chr7,LOC105375352.csv,5593
chr1,TRQ-CTG4-2.csv,72
chr19,ATG4D.csv,9522
chr6,LOC107986549.csv,1838
chr6,TRM-CAT3-1.csv,73
chr4,LOC101929621.csv,3160
chr16,DHODH.csv,18916
chr11,ZNRD2.csv,1412
chr1,RSC1A1.csv,2321
chr23,PNMA3.csv,3993
chr10,HK1.csv,131892
chr15,AEN.csv,27681
chr2,LINC01883.csv,2280
chr12,LRRC43.csv,35753
chr5,F2RL1.csv,16286
chr8,MIR4470.csv,72
chr6,LAMA4-AS1.csv,70088
chr4,LOC105378262.csv,105696
chr11,C11orf52.csv,7959
chr1,TRG-GCC1-3.csv,71
chr20,LOC100287792.csv,6325
chr1,CACYBP.csv,12593
chr1,MIR12116.csv,102
chr10,TDRD1.csv,58228
chr20,SEC23B.csv,53868
chr8,SLC39A14.csv,66852
chr13,PCCA.csv,441416
chr17,MRC2.csv,65928
chr19,GTPBP3.csv,7750
chr5,GM2A.csv,17256
chr12,LOC105369905.csv,73024
chr10,ADAMTS14.csv,89936
chr10,CDHR1.csv,25085
chr15,IQCH.csv,247019
chr4,USP17L28.csv,1593
chr22,IGLV11-55.csv,487
chr3,OR5AC2.csv,930
chr1,ZSCAN20.csv,31663
chr12,SYT1.csv,588027
chr6,LY6G6F.csv,3814
chr17,LRRC3C.csv,17268
chr10,AKR1C3.csv,58906
chr19,LGALS14.csv,4964
chr19,FCAR.csv,17190
chr10,CNNM1.csv,65230
chr5,LOC105379010.csv,20156
chr1,NPR1.csv,15344
chr14,ABHD4.csv,14666
chr5,LRRC14B.csv,4840
chr14,NKX2-1-AS1.csv,3739
chr2,BCYRN1.csv,200
chr12,LOC105369907.csv,5004
chr16,CALB2.csv,31716
chr7,PRSS1.csv,3601
chr19,ZNF805.csv,22097
chr22,CCDC134.csv,31486
chr4,HERC6.csv,64613
chr23,TCEAL7.csv,2088
chr20,SNORA51.csv,132
chr8,LOC105379289.csv,25271
chr5,MIR145.csv,88
chr4,MTTP.csv,59868
chr16,SSTR5.csv,8708
chr9,NUP214.csv,109078
chr16,TERF2IP.csv,9660
chr2,UPP2.csv,140976
chr1,OR10J1.csv,43503
chr2,PPP1R7.csv,34080
chr1,LOC112268239.csv,5206
chr10,ADARB2-AS1.csv,30379
chr19,ARHGAP45.csv,20670
chr19,SNAR-A1.csv,122
chr20,DSTN.csv,40747
chr18,LOC107985172.csv,77219
chr18,ANKRD30B.csv,107294
chr6,MIR1273C.csv,77
chr23,RTL4.csv,374502
chr12,MARCHF9.csv,5309
chr18,MIR5011.csv,103
chr22,ZC3H7B.csv,58623
