chr,gene,length
chr13,NUDT15.csv,15030
chr8,AARD.csv,6281
chr2,PCGEM1.csv,27055
chr7,LOC101928451.csv,108671
chr1,LINC02774.csv,129916
chr12,LOC112268088.csv,2061
chr10,LOC105378549.csv,6526
chr21,KRTAP10-8.csv,876
chr22,LOC101927393.csv,2114
chr16,LINC01566.csv,28298
chr17,SSTR2.csv,11624
chr1,EPHX1.csv,35440
chr17,LINC02094.csv,5482
chr21,MIR4759.csv,83
chr11,ZC3H12C.csv,79417
chr1,LOC105378781.csv,26101
chr15,LOC105370728.csv,3470
chr14,GSC-DT.csv,2966
chr4,METAP1.csv,67417
chr14,MIR376A2.csv,80
chr6,LOC105377879.csv,17054
chr19,MIR769.csv,118
chr1,LAMC2.csv,58864
chr17,MIEF2.csv,5891
chr19,LOC102725180.csv,6040
chr8,LOC105375768.csv,3816
chr4,TENM3.csv,1355412
chr12,ALX1.csv,21565
chr3,CNOT10.csv,88688
chr2,LOC102724744.csv,80396
chr11,VPS11.csv,14181
chr7,LOC105375518.csv,17953
chr4,LINC01396.csv,6391
chr16,MIR3180-1.csv,94
chr17,NME1-NME2.csv,18186
chr14,LINC02299.csv,49423
chr9,LINC02913.csv,1588
chr1,LOC105376740.csv,5848
chr10,KCNIP2-AS1.csv,9822
chr22,IGLV11-55.csv,487
chr8,DDHD2.csv,42338
chr11,LOC105376613.csv,5226
chr1,LOC105371215.csv,1996
chr19,ZNF66.csv,33692
chr12,LOC105369909.csv,2532
chr23,LOC107985694.csv,13815
chr20,LOC105372696.csv,1906
chr15,KLF13.csv,108831
chr15,LOC107984747.csv,23012
chr1,CPTP.csv,4140
chr13,LOC105370179.csv,4459
chr22,EFCAB6-AS1.csv,20352
chr2,LIMS1.csv,153576
chr7,ZSCAN21.csv,15268
chr24,ASMT.csv,47627
chr15,MIR630.csv,97
chr23,GAGE2A.csv,7329
chr19,LOC107985285.csv,8433
chr8,LOC105375643.csv,40589
chr3,TMPRSS7.csv,46534
chr23,MIR1298.csv,112
chr12,LOC105369788.csv,19370
chr12,LOC100652999.csv,3625
chr19,ZNF264.csv,31347
chr19,ZFP36.csv,2561
chr8,DEFB4A.csv,2040
chr1,LOC101929788.csv,17812
chr1,LOC148696.csv,4218
chr15,LOC105370965.csv,9053
chr1,EXTL1.csv,14690
chr6,LOC105377899.csv,198487
chr12,RAB21.csv,45424
chr2,LOC105373612.csv,6667
chr20,PAX1.csv,12818
chr14,TRDJ3.csv,59
chr12,KLRF1.csv,44954
chr5,ZNF131.csv,55411
chr14,MIR656.csv,78
chr16,SH2B1.csv,27600
chr24,LOC105379413.csv,11223
chr4,ETFDH.csv,37328
chr11,CD3E.csv,11444
chr19,CCDC159.csv,8469
chr5,LOC105377712.csv,10874
chr15,OR4M2B.csv,1084
chr24,FAM224A.csv,4295
chr5,SPINK9.csv,18756
chr8,LOC101927657.csv,4041
chr2,OSGEPL1-AS1.csv,2777
chr2,LOC105374576.csv,4252
chr17,SKAP1-AS2.csv,13483
chr10,ITIH2.csv,46205
chr5,RETREG1-AS1.csv,14044
chr11,LOC105369466.csv,26138
chr4,LINC02261.csv,64747
chr12,LOC105370076.csv,18582
